metric_fname_dl,metric_fname_jw,metric_fname_soundex,metric_lname_dl,metric_lname_jw,metric_lname_soundex,metric_gender_code_ff,metric_gender_code_mm,metric_gender_code_same,metric_race_code_same,metric_race_code_ww_bb,metric_year_diff_abs,metric_age,metric_ffreq_mean,metric_lfreq_mean,match
0,0,0,6,0.33333333333333337,1,2,0,TRUE,TRUE,TRUE,0,24,-0.5256715695133508,0.7530285208489196,match
0,0,0,7,0.5,1,0,2,TRUE,TRUE,TRUE,18,51,1.9973434361237112,-0.4275222944269537,unmatch
4,0.4,0,8,0.5694444444444445,1,2,0,TRUE,TRUE,TRUE,45,86,-0.6147564997088069,1.886861349255968,unmatch
1,0.1333333333333333,0,4,0.25396825396825395,1,2,0,TRUE,TRUE,TRUE,12,35,-0.6796315881863151,-0.7594498160653939,unmatch
0,0,0,7,0.5,1,2,0,TRUE,TRUE,TRUE,4,62,-0.12154617759097713,-0.3502166639738704,unmatch
7,0.4126984126984128,0,7,0.5523809523809524,1,2,0,TRUE,FALSE,FALSE,2,23,-0.6437129586619269,-0.31792317822393334,unmatch
0,0,0,0,0,0,0,2,TRUE,TRUE,TRUE,1,83,-0.6584285688530687,0.7469413548585465,match
0,0,0,7,0.49735449735449744,1,2,0,TRUE,TRUE,TRUE,0,63,-0.7614378401910609,-0.7988161321260353,match
2,0.22222222222222232,0,3,0.20952380952380956,1,2,0,TRUE,TRUE,TRUE,10,35,-0.560640676179412,-0.7928399681737541,unmatch
0,0,0,8,0.5,1,2,0,TRUE,TRUE,TRUE,8,55,-0.4821577541788101,-0.7061571726550284,unmatch
0,0,0,0,0,0,2,0,TRUE,TRUE,TRUE,1,62,-0.12154617759097713,-0.8120844596607055,match
0,0,0,6,0.41666666666666674,1,2,0,TRUE,TRUE,TRUE,4,36,-0.018536906252985014,-0.04828096413492827,unmatch
0,0,0,0,0,0,0,2,TRUE,TRUE,TRUE,1,79,2.732965691871077,0.5711089322157679,match
3,0.18055555555555558,0,6,0.38095238095238093,1,0,2,TRUE,TRUE,TRUE,9,42,-0.5030442658926142,-0.08282194821850797,unmatch
0,0,0,0,0,0,0,2,TRUE,TRUE,TRUE,1,63,0.7172436033041016,-0.7859864711347343,match
0,0,0,6,0.5555555555555556,1,0,2,TRUE,TRUE,TRUE,12,52,2.5046363531937983,0.7883358359811459,unmatch
0,0,0,6,0.6166666666666667,1,0,2,TRUE,TRUE,TRUE,10,66,2.732965691871077,-0.03621763419227399,unmatch
0,0,0,5,0.3928571428571429,1,0,2,TRUE,TRUE,TRUE,5,38,-0.40114277122267006,-0.6331813712143421,unmatch
0,0,0,0,0,0,2,0,TRUE,TRUE,TRUE,1,43,-0.7688747721914923,-0.1341947578005083,match
0,0,0,9,0.55,1,2,0,TRUE,TRUE,TRUE,3,76,-0.49671511056023077,-0.3348091693391504,unmatch
0,0,0,4,0.3571428571428572,1,0,2,TRUE,TRUE,TRUE,18,45,2.1316829735606406,-0.5166177559342102,unmatch
0,0,0,0,0,0,0,2,TRUE,TRUE,TRUE,1,53,1.386882993905911,0.16680944333489894,match
1,0.1333333333333333,0,5,0.4222222222222223,1,2,0,TRUE,TRUE,TRUE,12,53,-0.32265885216560614,-0.581150561817288,unmatch
0,0,0,0,0,0,0,2,TRUE,TRUE,TRUE,1,64,0.2536227553782765,-0.7402053245784423,match
4,0.30000000000000004,0,5,0.44444444444444453,1,2,0,TRUE,FALSE,FALSE,0,45,-0.7465639761901979,0.12491945924763487,unmatch
5,0.4047619047619049,0,5,0.44444444444444453,1,2,0,TRUE,TRUE,TRUE,32,58,-0.5937117341852817,-0.5938150551537007,unmatch
4,0.4222222222222223,0,7,1,1,2,0,TRUE,TRUE,TRUE,19,53,-0.6126992001824321,-0.766083979832729,unmatch
0,0,0,6,0.5357142857142858,1,0,2,TRUE,TRUE,TRUE,18,86,2.732965691871077,0.26648439669531493,unmatch
0,0,0,6,0.638888888888889,1,0,2,TRUE,TRUE,TRUE,11,37,0.2613761949981502,1.561297163300881,unmatch
0,0,0,8,0.5773809523809524,1,2,0,TRUE,TRUE,TRUE,0,55,-0.5335832629429457,-0.061549291669598494,match
0,0,0,0,0,0,0,2,TRUE,TRUE,TRUE,1,56,-0.7688747721914923,0.0551253256486252,match
0,0,0,8,0.5773809523809524,1,2,0,TRUE,FALSE,FALSE,0,71,2.1880133533696693,-0.45285395190427824,unmatch
0,0,0,5,0.5333333333333334,1,2,0,TRUE,TRUE,TRUE,3,76,0.650627722919661,-0.7406439911218117,unmatch
0,0,0,7,0.45000000000000007,1,2,0,TRUE,TRUE,TRUE,0,51,-0.23230888854884296,-0.36441649021207556,match
0,0,0,0,0,0,0,2,TRUE,TRUE,TRUE,1,24,-0.7247279416180671,-0.4013701402841861,match
0,0,0,6,0.48809523809523814,1,2,0,TRUE,TRUE,TRUE,10,43,-0.5407036873239348,0.0337416670616239,unmatch
0,0,0,7,0.5694444444444445,1,2,0,TRUE,TRUE,TRUE,5,82,0.040167280701860784,1.0103880717235858,unmatch
4,0.33333333333333337,0,8,0.5694444444444445,1,0,2,TRUE,TRUE,TRUE,15,52,-0.6956132288552259,0.6123382456834792,unmatch
2,0.2666666666666666,0,8,0.48888888888888893,1,1,1,FALSE,TRUE,TRUE,16,44,0.08937823318636234,-0.6550578619615091,unmatch
0,0,0,4,0.4111111111111112,1,2,0,TRUE,TRUE,TRUE,22,42,2.1880133533696693,-0.301253849575902,unmatch
0,0,0,6,0.5523809523809524,1,2,0,TRUE,TRUE,TRUE,6,39,-0.3865854148412494,0.2539850710137903,unmatch
0,0,0,6,0.5714285714285715,1,0,2,TRUE,TRUE,TRUE,14,93,2.5046363531937983,-0.7921819683587001,unmatch
3,0.13095238095238093,0,8,0.5740740740740742,1,1,1,FALSE,TRUE,TRUE,0,33,1.047159923144806,1.0550698811169557,unmatch
0,0,0,8,1,1,2,0,TRUE,TRUE,TRUE,0,26,-0.046860349967220515,1.3568484257145066,unmatch
0,0,0,0,0,0,0,2,TRUE,TRUE,TRUE,1,52,2.5046363531937983,-0.7795716406390838,match
0,0,0,6,1,1,2,0,TRUE,TRUE,TRUE,0,51,0.12134051746772201,0.6619563890920024,unmatch
0,0,0,7,0.5773809523809524,1,0,2,TRUE,TRUE,TRUE,16,72,-0.4456061094155376,0.6504968933476054,unmatch
0,0,0,5,0.5333333333333334,1,0,2,TRUE,TRUE,TRUE,28,35,2.1598481634651545,0.24746190928454698,unmatch
1,0.04761904761904767,0,0,0,0,0,2,TRUE,TRUE,TRUE,1,32,0.7996848646606558,-0.1341947578005083,match
1,0.16666666666666674,0,5,0.38095238095238093,1,2,0,TRUE,TRUE,TRUE,0,68,-0.48152473893992565,-0.5344920821742576,unmatch
0,0,0,0,0,0,2,0,TRUE,TRUE,TRUE,20,68,-0.6070030600889332,0.7077943720695897,match
0,0,0,0,0,0,2,0,TRUE,TRUE,TRUE,1,86,-0.3198112806470877,-0.7859864711347343,match
2,0.15079365079365092,0,7,0.5583333333333333,1,1,1,FALSE,TRUE,TRUE,5,28,-0.4313652606535592,-0.10634210310106011,unmatch
0,0,0,6,0.5158730158730159,1,2,0,TRUE,TRUE,TRUE,25,59,0.010736060319577318,0.15830961135599514,unmatch
0,0,0,0,0,0,2,0,TRUE,TRUE,TRUE,1,76,-0.6660237546632213,1.7185430942717619,match
3,0.2666666666666666,0,6,0.5634920634920635,1,2,0,TRUE,TRUE,TRUE,35,72,-0.5383298801781178,0.22925991853922217,unmatch
0,0,0,0,0,0,0,2,TRUE,TRUE,TRUE,1,37,2.1316829735606406,-0.47988343913378434,match
0,0,0,5,0.5888888888888889,1,2,0,TRUE,TRUE,TRUE,4,60,-0.32012778826653,-0.494960598458728,unmatch
0,0,0,0,0,0,2,0,TRUE,TRUE,TRUE,1,71,0.6803754509213866,-0.6353747039311883,match
0,0,0,6,1,1,0,2,TRUE,TRUE,TRUE,0,60,-0.5995661280885018,-0.6066447161450017,unmatch
0,0,0,6,1,1,2,0,TRUE,TRUE,TRUE,5,77,0.7833847222593788,-0.7727181436000641,unmatch
0,0,0,0,0,0,2,0,TRUE,TRUE,TRUE,1,52,-0.09923538158968284,0.5065219607158937,match
0,0,0,6,0.5357142857142858,1,0,2,TRUE,TRUE,TRUE,20,86,2.732965691871077,0.26648439669531493,unmatch
0,0,0,7,0.5357142857142858,1,0,2,TRUE,FALSE,FALSE,17,47,0.03304685632087162,-0.7731568101434334,unmatch
5,0.5555555555555556,0,7,1,1,0,2,TRUE,TRUE,TRUE,12,37,-0.21237189969336573,-0.12213142785785402,unmatch
